trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
328,False,"{'a': 0.002, 'e': 0.5199617644572618}",20,15,-3.5442660089331306,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
329,False,"{'a': 0.002, 'e': 0.5189228801589404}",30,3,-54.16175370890423,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 1}",1
330,False,"{'a': 0.002, 'e': 0.5178860715528314}",20,0,-36.79283963626246,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
331,False,"{'a': 0.002, 'e': 0.5168513344916992}",25,0,-172.68650250541683,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
332,False,"{'a': 0.002, 'e': 0.5158186648365941}",35,0,-111.30916098527774,"{0: 27, 1: 2, 2: 3, 3: 1, 4: 2}",0
333,False,"{'a': 0.002, 'e': 0.5147880584568362}",35,16,-48.367366787387446,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
334,False,"{'a': 0.002, 'e': 0.5137595112299983}",25,11,-18.413832693973035,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
335,False,"{'a': 0.002, 'e': 0.5127330190418905}",25,15,-24.49897534994074,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
336,False,"{'a': 0.002, 'e': 0.5117085777865424}",20,12,-43.49443790220201,"{0: 5, 1: 0, 2: 1, 3: 2, 4: 0}",1
337,False,"{'a': 0.002, 'e': 0.5106861833661879}",20,10,-11.590240448398433,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
338,False,"{'a': 0.002, 'e': 0.5096658316912476}",20,12,4.106932134518381,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
339,False,"{'a': 0.002, 'e': 0.5086475186803137}",20,13,5.850143413242648,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.002, 'e': 0.5076312402601327}",25,3,-27.254550128128212,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
341,False,"{'a': 0.002, 'e': 0.5066169923655895}",30,5,-12.829464149226773,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
342,False,"{'a': 0.002, 'e': 0.5056047709396915}",20,2,5.653864672055311,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
343,False,"{'a': 0.002, 'e': 0.5045945719335512}",25,0,-160.8553269197503,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
344,False,"{'a': 0.002, 'e': 0.5035863913063714}",20,0,-50.8981892093127,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
345,False,"{'a': 0.002, 'e': 0.5025802250254283}",20,0,-93.35920230622158,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
346,False,"{'a': 0.002, 'e': 0.5015760690660555}",20,1,-51.789310162058584,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
347,False,"{'a': 0.002, 'e': 0.5005739194116277}",25,0,-92.25381853289147,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
348,False,"{'a': 0.002, 'e': 0.4995737720535449}",20,8,22.760822370338566,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
